"ngapain","sedang apa","",""
"ngaret","terlambat","",""
"ngaruh","berpengaruh","",""
"ngasih","memberikan","",""
"ngawur","sembarangan","",""
"ngebandel","berbuat bandel","",""
"ngeceeng","bergosip","",""
"ngeh","sadar","",""
"ngeklaim","mengklaim","",""
"ngekos","tinggal di kos","",""
"ngeksis","menjadi eksis","",""
"ngelamar","melamar","",""
"ngeles","berkilah","",""
"ngeliat","melihat","",""
"ngelidur","mengigau","",""
"ngerampok","merampok","",""
"nutupin","menutupi","",""
"nx","nya","",""
"nunggu","menunggu","",""
"nyam","nyaman","",""
"nyampah","membuat sampah","",""
"ngomeng","bicara terus terusan","",""
"nyampe","sampai","",""
"nyari","mencari","",""
"nyariin","mencari","",""
"nyekar","menyekar","",""
"nyiapin","mempersiapkan","",""
"nyicil","mencicil","",""
"nyiram","menyiram","",""
"nyoblos","mencoblos","",""
"nyok","ayo","",""
"nyokap","ibu","",""
"o","oleh","",""
"oantai","pantai","",""
"obyek","objek","",""
"nie","ini","",""
"niech","nih","",""
"nih","ini","",""
"nimbrung","ikut serta","",""
"niyh","nih","",""
"nkah","nikah","",""
"nmr","nomor","",""
"nn","dan","",""
"nti","nanti","",""
"ntn","nonton","",""
"no","nomor","",""
"nobar","nonton bareng","",""
"nongkrong","kumpul kumpul","",""
"numpuk","bertumpuk","",""
"nrp","narapidana","",""
"ntar","nanti","",""
"ntn","nonton","",""
"ntn","nonton","",""
"nuhun","terima kasih","",""
"omg","orang","",""
"ortu","orang tua","",""
"ortunya","orang tuanya","",""
